ÐòºÅ,X,Y
271,2.925902713,51.63637526
272,2.925902712,51.65146695
273,2.926306954,51.54137841
274,2.926711195,51.62990739
275,2.927474765,51.59065101
276,2.927384932,51.62350689
277,2.928103585,51.52085191
278,2.929001899,51.61757801
279,2.929630722,51.54807086
280,2.929702585,51.56840872
281,2.930349372,51.63374769
282,2.931292604,51.57789493
283,2.931157857,51.62727981
284,2.931876509,51.52893675
285,2.932397532,51.76066616
286,2.93376297,51.59855618
287,2.934361847,51.53747074
288,2.934796034,51.62101407
289,2.934661286,51.63098537
290,2.935469769,51.54542083
291,2.935847064,51.60748544
292,2.935604517,51.62465224
293,2.938542009,51.56398901
294,2.938811504,51.51262334
295,2.938757604,51.71129475
296,2.939080998,51.57352912
297,2.939242693,51.62855991
298,2.939634686,51.524633
299,2.941039325,51.69782002
300,2.941061781,51.59406461
301,2.941263903,51.54286064
302,2.941398651,51.7311026
303,2.942153236,51.53353612
304,2.943285113,51.77618905
305,2.943464776,51.62577514
306,2.944201396,51.68563887
307,2.945602765,51.61314482
308,2.946195655,51.50793414
309,2.947192785,51.54016569
310,2.946923289,51.56940585
311,2.947507196,51.63956427
312,2.947911437,51.66992733
313,2.948203389,51.57890554
314,2.949303826,51.58903404
315,2.949416114,51.74963036
316,2.95031443,51.52949819
317,2.951504697,51.59851127
318,2.951819108,51.51393488
319,2.952582676,51.6094258
320,2.952986919,51.53774024
321,2.953645682,51.55888059
322,2.953728027,51.72315251
323,2.954267015,51.65523988
324,2.954748997,51.5329308
325,2.955053041,51.57475083
326,2.955344995,51.618117
327,2.956652044,51.50626327
328,2.956939505,51.58454246
329,2.958017483,51.50037032
330,2.958511557,51.71102526
331,2.959724283,51.5547184
332,2.959859029,51.55542582
333,2.960323161,51.77902772
334,2.960451918,51.53426376
335,2.961475997,51.69970648
336,2.961745493,51.61387246
337,2.962168983,51.56403521
338,2.96410357,51.76162287
339,2.964665017,51.58041021
340,2.965271379,51.72654365
341,2.966102321,51.55184379
342,2.9663269,51.62748193
343,2.967359964,51.58957303
344,2.967270131,51.71964908
345,2.968168447,51.51698915
346,2.968348109,51.64521468
347,2.968617604,51.61104277
348,2.969201508,51.49565417
349,2.969587784,51.68763313
350,2.970369318,51.5595154
